id_correlativo,codigo_vendedor,codigo_producto,razon
9608.0,AP,,venta no encontrada
9608.0,AP,,venta no encontrada
9608.0,AP,,venta no encontrada
9507.0,AP,PTOUSADO,producto no encontrado
9508.0,AP,PTOUSADO,producto no encontrado
9804.0,AP,,venta no encontrada
9822.0,AP,,venta no encontrada
9826.0,AP,,venta no encontrada
9866.0,AP,,venta no encontrada
9873.0,AP,,venta no encontrada
9883.0,AP,,venta no encontrada
9893.0,AP,,venta no encontrada
9895.0,AP,,venta no encontrada
9899.0,AP,,venta no encontrada
9902.0,AP,,venta no encontrada
9902.0,AP,,venta no encontrada
9910.0,AP,,venta no encontrada
9914.0,AP,,venta no encontrada
9916.0,AP,,venta no encontrada
9921.0,AP,,venta no encontrada
9940.0,AP,,venta no encontrada
9940.0,AP,,venta no encontrada
9956.0,AP,,venta no encontrada
9987.0,AP,,venta no encontrada
10002.0,AP,,venta no encontrada
10018.0,AP,,venta no encontrada
10025.0,AP,,venta no encontrada
9395.0,AP,,venta no encontrada
10062.0,AP,,venta no encontrada
10064.0,AP,,venta no encontrada
10081.0,AP,,venta no encontrada
10082.0,AP,,venta no encontrada
10118.0,AP,,venta no encontrada
10146.0,AP,,venta no encontrada
10170.0,AP,,venta no encontrada
10215.0,AP,,venta no encontrada
10215.0,AP,,venta no encontrada
10353.0,AP,,venta no encontrada
10355.0,AP,,venta no encontrada
10398.0,AP,,venta no encontrada
10431.0,AP,,venta no encontrada
10433.0,AP,,venta no encontrada
10456.0,AP,,venta no encontrada
10671.0,AP,,venta no encontrada
10717.0,AP,,venta no encontrada
10815.0,AP,,venta no encontrada
10815.0,AP,,venta no encontrada
10852.0,AP,,venta no encontrada
10852.0,AP,,venta no encontrada
10929.0,AP,,venta no encontrada
11082.0,AP,,venta no encontrada
11266.0,AP,,venta no encontrada
11268.0,AP,,venta no encontrada
11356.0,AP,,venta no encontrada
11450.0,AP,,venta no encontrada
11452.0,AP,,venta no encontrada
11504.0,AP,,venta no encontrada
11516.0,AP,,venta no encontrada
11746.0,AP,,venta no encontrada
11747.0,AP,,venta no encontrada
11748.0,AP,,venta no encontrada
11880.0,AP,,venta no encontrada
11881.0,AP,,venta no encontrada
11884.0,AP,,venta no encontrada
11912.0,AP,,venta no encontrada
12019.0,AP,,venta no encontrada
12163.0,AP,,venta no encontrada
12390.0,AP,,venta no encontrada
12396.0,AP,,venta no encontrada
12398.0,AP,,venta no encontrada
12458.0,AP,,venta no encontrada
12504.0,AP,,venta no encontrada
8.0,V0,,venta no encontrada
20.0,V0,,venta no encontrada
63.0,V0,,venta no encontrada
79.0,V0,,venta no encontrada
96.0,V0,,venta no encontrada
122.0,V0,,venta no encontrada
137.0,V0,,venta no encontrada
156.0,V0,,venta no encontrada
159.0,V0,,venta no encontrada
168.0,V0,,venta no encontrada
176.0,V0,,venta no encontrada
179.0,V0,,venta no encontrada
179.0,V0,,venta no encontrada
181.0,V0,,venta no encontrada
188.0,V0,,venta no encontrada
201.0,V0,,venta no encontrada
234.0,V0,,venta no encontrada
306.0,V0,,venta no encontrada
